Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,WoodDeckSF,PoolArea,SalePrice
28,RL,98,11478,Pave,,Reg,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,1704,SBrkr,1704,0,1704,2,0,3,1,7,Attchd,3,772,0,0,306000
29,RL,47,16321,Pave,,IR1,NAmes,1Fam,1Story,5,6,1957,1997,Gable,1484,SBrkr,1600,0,1600,1,0,2,1,6,Attchd,1,319,288,0,207500
30,RM,60,6324,Pave,,IR1,BrkSide,1Fam,1Story,4,6,1927,1950,Gable,520,SBrkr,520,0,520,1,0,1,1,4,Detchd,1,240,49,0,68500
31,C (all),50,8500,Pave,Pave,Reg,IDOTRR,1Fam,2Story,4,4,1920,1950,Gambrel,649,SBrkr,649,668,1317,1,0,3,1,6,Detchd,1,250,0,0,40000
32,RL,,8544,Pave,,IR1,Sawyer,1Fam,1Story,5,6,1966,2006,Gable,1228,SBrkr,1228,0,1228,1,1,3,1,6,Attchd,1,271,0,0,149350
33,RL,85,11049,Pave,,Reg,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,1234,SBrkr,1234,0,1234,2,0,3,1,7,Attchd,2,484,0,0,179900
34,RL,70,10552,Pave,,IR1,NAmes,1Fam,1Story,5,5,1959,1959,Hip,1398,SBrkr,1700,0,1700,1,1,4,1,6,Attchd,2,447,0,0,165500
35,RL,60,7313,Pave,,Reg,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,1561,SBrkr,1561,0,1561,2,0,2,1,6,Attchd,2,556,203,0,277500
36,RL,108,13418,Pave,,Reg,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,1117,SBrkr,1132,1320,2452,3,1,4,1,9,BuiltIn,3,691,113,0,309000
37,RL,112,10859,Pave,,Reg,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,1097,SBrkr,1097,0,1097,1,1,3,1,6,Attchd,2,672,392,0,145000
38,RL,74,8532,Pave,,Reg,NAmes,1Fam,1Story,5,6,1954,1990,Hip,1297,SBrkr,1297,0,1297,1,0,3,1,5,Attchd,2,498,0,0,153000
39,RL,68,7922,Pave,,Reg,NAmes,1Fam,1Story,5,7,1953,2007,Gable,1057,SBrkr,1057,0,1057,1,0,3,1,5,Detchd,1,246,0,0,109000
40,RL,65,6040,Pave,,Reg,Edwards,Duplex,1Story,4,5,1955,1955,Gable,0,FuseP,1152,0,1152,2,0,2,2,6,,0,0,0,0,82000
41,RL,84,8658,Pave,,Reg,NAmes,1Fam,1Story,6,5,1965,1965,Gable,1088,SBrkr,1324,0,1324,2,0,3,1,6,Attchd,2,440,0,0,160000
42,RL,115,16905,Pave,,Reg,Timber,1Fam,1Story,5,6,1959,1959,Gable,1350,SBrkr,1328,0,1328,1,1,2,1,5,Attchd,1,308,0,0,170000
43,RL,,9180,Pave,,IR1,SawyerW,1Fam,SFoyer,5,7,1983,1983,Gable,840,SBrkr,884,0,884,1,0,2,1,5,Attchd,2,504,240,0,144000
44,RL,,9200,Pave,,IR1,CollgCr,1Fam,1Story,5,6,1975,1980,Hip,938,SBrkr,938,0,938,1,0,3,1,5,Detchd,1,308,145,0,130250
45,RL,70,7945,Pave,,Reg,NAmes,1Fam,1Story,5,6,1959,1959,Gable,1150,FuseA,1150,0,1150,1,0,3,1,6,Attchd,1,300,0,0,141000
46,RL,61,7658,Pave,,Reg,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,1752,SBrkr,1752,0,1752,2,0,2,1,6,Attchd,2,576,196,0,319900
47,RL,48,12822,Pave,,IR1,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Gable,1434,SBrkr,1518,631,2149,1,1,1,1,6,Attchd,2,670,168,0,239686
48,FV,84,11096,Pave,,Reg,Somerst,1Fam,1Story,8,5,2006,2006,Gable,1656,SBrkr,1656,0,1656,2,0,3,1,7,Attchd,3,826,0,0,249700
49,RM,33,4456,Pave,,Reg,OldTown,2fmCon,2Story,4,5,1920,2008,Gable,736,SBrkr,736,716,1452,2,0,2,3,8,,0,0,0,0,113000
50,RL,66,7742,Pave,,Reg,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,955,SBrkr,955,0,955,1,0,3,1,6,Attchd,1,386,0,0,127000
51,RL,,13869,Pave,,IR2,Gilbert,1Fam,2Story,6,6,1997,1997,Gable,794,SBrkr,794,676,1470,2,0,3,1,6,Attchd,2,388,0,0,177000
52,RM,52,6240,Pave,,Reg,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Gable,816,SBrkr,816,0,1176,1,0,3,1,6,Detchd,2,528,112,0,114500
53,RM,110,8472,Grvl,,IR2,IDOTRR,Duplex,1Story,5,5,1963,1963,Gable,816,SBrkr,816,0,816,1,0,2,1,5,CarPort,2,516,106,0,110000
54,RL,68,50271,Pave,,IR1,Veenker,1Fam,1Story,9,5,1981,1987,Gable,1842,SBrkr,1842,0,1842,0,1,0,1,5,Attchd,3,894,857,0,385000
55,RL,60,7134,Pave,,Reg,NAmes,1Fam,SLvl,5,5,1955,1955,Gable,384,SBrkr,1360,0,1360,1,0,3,1,6,Detchd,2,572,0,0,130000
56,RL,100,10175,Pave,,IR1,NAmes,1Fam,1Story,6,5,1964,1964,Gable,1425,SBrkr,1425,0,1425,2,0,3,1,7,Attchd,2,576,0,0,180500
57,FV,24,2645,Pave,Pave,Reg,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,970,SBrkr,983,756,1739,2,1,3,1,7,Attchd,2,480,115,0,172500
58,RL,89,11645,Pave,,IR1,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,860,SBrkr,860,860,1720,2,1,3,1,7,Attchd,2,565,0,0,196500
59,RL,66,13682,Pave,,IR2,StoneBr,1Fam,2Story,10,5,2006,2006,Hip,1410,SBrkr,1426,1519,2945,3,1,3,1,10,BuiltIn,3,641,192,0,438780
60,RL,60,7200,Pave,,Reg,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,780,SBrkr,780,0,780,1,0,2,1,4,Detchd,1,352,196,0,124900
61,RL,63,13072,Pave,,Reg,SawyerW,1Fam,1Story,6,5,2004,2004,Gable,1158,SBrkr,1158,0,1158,1,1,3,1,5,Detchd,2,576,0,0,158000
62,RM,60,7200,Pave,,Reg,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,Gable,530,SBrkr,581,530,1111,1,0,3,1,6,Detchd,1,288,0,0,101000
63,RL,44,6442,Pave,,IR1,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gable,1370,SBrkr,1370,0,1370,2,0,2,1,6,Attchd,2,484,120,0,202500
64,RM,50,10300,Pave,,IR1,OldTown,1Fam,2Story,7,6,1921,1950,Gable,576,SBrkr,902,808,1710,2,0,3,1,9,Detchd,2,480,12,0,140000
65,RL,,9375,Pave,,Reg,CollgCr,1Fam,2Story,7,5,1997,1998,Gable,1057,SBrkr,1057,977,2034,2,1,3,1,8,Attchd,2,645,576,0,219500
66,RL,76,9591,Pave,,Reg,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,1143,SBrkr,1143,1330,2473,2,1,4,1,9,BuiltIn,3,852,192,0,317000
67,RL,,19900,Pave,,Reg,NAmes,1Fam,1Story,7,5,1970,1989,Gable,1947,SBrkr,2207,0,2207,2,0,3,1,7,Attchd,2,576,301,0,180000
68,RL,72,10665,Pave,,IR1,CollgCr,1Fam,1Story,7,5,2003,2003,Gable,1453,SBrkr,1479,0,1479,2,0,3,1,7,Attchd,2,558,144,0,226000
69,RM,47,4608,Pave,,Reg,OldTown,1Fam,1Story,4,6,1945,1950,Gable,747,SBrkr,747,0,747,1,0,2,1,4,Attchd,1,220,0,0,80000
70,RL,81,15593,Pave,,Reg,ClearCr,1Fam,1.5Fin,7,4,1953,1953,Gable,1304,SBrkr,1304,983,2287,2,0,3,1,7,Attchd,2,667,0,0,225000
71,RL,95,13651,Pave,,IR1,NAmes,1Fam,1Story,7,6,1973,1973,Gable,2223,SBrkr,2223,0,2223,2,0,3,1,8,Attchd,2,516,300,0,244000
72,RL,69,7599,Pave,,Reg,Mitchel,1Fam,1Story,4,6,1982,2006,Gable,845,SBrkr,845,0,845,1,0,2,1,4,Detchd,2,360,0,0,129500
73,RL,74,10141,Pave,,IR1,Gilbert,1Fam,2Story,7,5,1998,1998,Gable,832,SBrkr,885,833,1718,2,1,3,1,7,Attchd,2,427,0,0,185000
74,RL,85,10200,Pave,,Reg,NAmes,1Fam,1Story,5,7,1954,2003,Gable,1086,SBrkr,1086,0,1086,1,0,3,1,6,Attchd,2,490,0,0,144900
75,RM,60,5790,Pave,,Reg,OldTown,1Fam,2Story,3,6,1915,1950,Gambrel,840,SBrkr,840,765,1605,2,0,3,2,8,Detchd,1,379,0,0,107400
76,RM,21,1596,Pave,,Reg,MeadowV,Twnhs,SLvl,4,5,1973,1973,Gable,462,SBrkr,526,462,988,1,0,2,1,5,BuiltIn,1,297,120,0,91000
77,RL,,8475,Pave,,IR1,NAmes,1Fam,1Story,4,7,1956,1956,Gable,952,FuseA,952,0,952,1,0,2,1,4,Detchd,1,283,0,0,135750
78,RM,50,8635,Pave,,Reg,BrkSide,1Fam,1.5Fin,5,5,1948,2001,Gable,672,SBrkr,1072,213,1285,1,0,2,1,6,Detchd,1,240,0,0,127000
79,RL,72,10778,Pave,,Reg,Sawyer,Duplex,1Story,4,5,1968,1968,Hip,1768,SBrkr,1768,0,1768,2,0,4,2,8,,0,0,0,0,136500
80,RM,60,10440,Pave,Grvl,Reg,OldTown,1Fam,2Story,5,6,1910,1981,Gable,440,SBrkr,682,548,1230,1,1,2,1,5,Detchd,2,440,74,0,110000
81,RL,100,13000,Pave,,Reg,NAmes,1Fam,2Story,6,6,1968,1968,Gable,896,SBrkr,1182,960,2142,2,1,4,1,8,Attchd,1,509,0,0,193500
82,RM,32,4500,Pave,,Reg,Mitchel,TwnhsE,1Story,6,5,1998,1998,Hip,1237,SBrkr,1337,0,1337,2,0,2,1,5,Attchd,2,405,0,0,153500
83,RL,78,10206,Pave,,Reg,Somerst,1Fam,1Story,8,5,2007,2007,Gable,1563,SBrkr,1563,0,1563,2,0,3,1,6,Attchd,3,758,144,0,245000
84,RL,80,8892,Pave,,IR1,NAmes,1Fam,1Story,5,5,1960,1960,Gable,1065,SBrkr,1065,0,1065,1,1,3,1,6,Detchd,2,461,74,0,126500
85,RL,,8530,Pave,,IR1,Gilbert,1Fam,SLvl,7,5,1995,1996,Gable,384,SBrkr,804,670,1474,2,1,3,1,7,BuiltIn,2,400,120,0,168500
86,RL,121,16059,Pave,,Reg,NoRidge,1Fam,2Story,8,5,1991,1992,Hip,1288,SBrkr,1301,1116,2417,2,1,4,1,9,Attchd,2,462,127,0,260000
87,RL,122,11911,Pave,,IR2,Gilbert,1Fam,2Story,6,5,2005,2005,Gable,684,SBrkr,684,876,1560,2,1,3,1,6,BuiltIn,2,400,100,0,174000
88,FV,40,3951,Pave,Pave,Reg,Somerst,TwnhsE,2Story,6,5,2009,2009,Gable,612,SBrkr,612,612,1224,2,1,2,1,4,Detchd,2,528,0,0,164500
89,C (all),105,8470,Pave,,IR1,IDOTRR,1Fam,1.5Fin,3,2,1915,1982,Hip,1013,SBrkr,1013,0,1526,1,0,2,1,6,,0,0,0,0,85000
90,RL,60,8070,Pave,,Reg,CollgCr,1Fam,1Story,4,5,1994,1995,Gable,990,SBrkr,990,0,990,1,0,3,1,5,,0,0,0,0,123600
91,RL,60,7200,Pave,,Reg,NAmes,1Fam,1Story,4,5,1950,1950,Gable,0,FuseA,1040,0,1040,1,0,2,1,4,Detchd,2,420,0,0,109900
92,RL,85,8500,Pave,,Reg,NAmes,1Fam,1Story,5,3,1961,1961,Hip,1235,SBrkr,1235,0,1235,1,0,2,1,6,Attchd,2,480,0,0,98600
93,RL,80,13360,Pave,Grvl,IR1,Crawfor,1Fam,1Story,5,7,1921,2006,Gable,876,SBrkr,964,0,964,1,0,2,1,5,Detchd,2,432,0,0,163500
94,C (all),60,7200,Pave,,Reg,OldTown,2fmCon,2.5Unf,6,6,1910,1998,Hip,1214,SBrkr,1260,1031,2291,2,0,4,2,9,Detchd,2,506,0,0,133900
95,RL,69,9337,Pave,,IR1,CollgCr,1Fam,2Story,6,5,1997,1997,Gable,824,SBrkr,905,881,1786,2,1,3,1,7,Attchd,2,684,0,0,204750
96,RL,,9765,Pave,,IR2,Gilbert,1Fam,2Story,6,8,1993,1993,Gable,680,SBrkr,680,790,1470,2,1,3,1,6,BuiltIn,2,420,232,0,185000
97,RL,78,10264,Pave,,IR1,CollgCr,1Fam,1Story,7,5,1999,1999,Gable,1588,SBrkr,1588,0,1588,2,0,3,1,6,Attchd,2,472,158,0,214000
98,RL,73,10921,Pave,,Reg,Edwards,1Fam,1Story,4,5,1965,1965,Hip,960,FuseF,960,0,960,1,0,3,1,6,Attchd,1,432,120,0,94750
99,RL,85,10625,Pave,,Reg,Edwards,1Fam,1Story,5,5,1920,1950,Gable,458,SBrkr,835,0,835,1,0,2,1,5,Basment,1,366,0,0,83000
100,RL,77,9320,Pave,,IR1,NAmes,1Fam,1Story,4,5,1959,1959,Gable,950,SBrkr,1225,0,1225,1,1,3,1,6,,0,0,352,0,128950
101,RL,,10603,Pave,,IR1,NWAmes,1Fam,1Story,6,7,1977,2001,Gable,1610,SBrkr,1610,0,1610,2,0,3,1,6,Attchd,2,480,168,0,205000
102,RL,77,9206,Pave,,Reg,SawyerW,1Fam,2Story,6,5,1985,1985,Gable,741,SBrkr,977,755,1732,2,1,3,1,7,Attchd,2,476,192,0,178000
103,RL,64,7018,Pave,,Reg,SawyerW,Duplex,1Story,5,5,1979,1979,Gable,0,SBrkr,1535,0,1535,2,0,4,2,8,Attchd,2,410,0,0,118964
104,RL,94,10402,Pave,,IR1,CollgCr,1Fam,1Story,7,5,2009,2009,Gable,1226,SBrkr,1226,0,1226,2,0,3,1,6,Attchd,3,740,0,0,198900
105,RM,,7758,Pave,,Reg,IDOTRR,1Fam,1.5Fin,7,4,1931,1950,Gable,1040,FuseF,1226,592,1818,1,1,4,1,7,Detchd,1,240,0,0,169500
106,FV,75,9375,Pave,,Reg,Somerst,1Fam,2Story,8,5,2003,2004,Hip,1053,SBrkr,1053,939,1992,2,1,3,1,9,Attchd,2,648,140,0,250000
107,RM,60,10800,Pave,Grvl,Reg,OldTown,1Fam,1Story,4,7,1885,1995,Mansard,641,SBrkr,1047,0,1047,1,0,2,1,6,Detchd,1,273,0,0,100000
108,RM,50,6000,Pave,,Reg,OldTown,1Fam,1Story,5,5,1948,1950,Gable,789,SBrkr,789,0,789,1,0,2,1,5,Detchd,1,250,0,0,115000
109,RM,85,8500,Pave,,Reg,IDOTRR,1Fam,1.5Fin,5,7,1919,2005,Gable,793,FuseF,997,520,1517,2,0,3,1,7,,0,0,0,0,115000
110,RL,105,11751,Pave,,IR1,NWAmes,1Fam,1Story,6,6,1977,1977,Hip,1844,SBrkr,1844,0,1844,2,0,3,1,7,Attchd,2,546,0,0,190000
111,RL,75,9525,Pave,,Reg,Edwards,1Fam,1.5Fin,6,4,1954,1972,Gable,994,SBrkr,1216,639,1855,2,0,4,1,7,Attchd,1,325,182,0,136900
112,RL,,7750,Pave,,IR1,Gilbert,1Fam,SLvl,7,5,2000,2000,Gable,384,SBrkr,774,656,1430,2,1,3,1,7,BuiltIn,2,400,180,0,180000
113,RL,77,9965,Pave,,Reg,CollgCr,1Fam,2Story,7,5,2007,2007,Gable,1264,SBrkr,1282,1414,2696,2,1,4,1,10,BuiltIn,3,792,120,0,383970
114,RL,,21000,Pave,,Reg,Crawfor,1Fam,1Story,6,5,1953,1953,Hip,1809,SBrkr,2259,0,2259,2,0,3,1,7,Basment,2,450,166,0,217000
115,RL,61,7259,Pave,,IR1,Crawfor,1Fam,2Story,6,8,1945,2002,Gambrel,1028,SBrkr,1436,884,2320,2,1,3,1,9,Detchd,1,180,224,0,259500
116,FV,34,3230,Pave,Pave,Reg,Somerst,TwnhsE,2Story,6,5,1999,1999,Gable,729,SBrkr,729,729,1458,2,1,2,1,5,Detchd,2,440,0,0,176000
117,RL,,11616,Pave,,Reg,Sawyer,1Fam,1Story,5,5,1962,1962,Gable,1092,SBrkr,1092,0,1092,1,0,3,1,6,Attchd,1,288,0,0,139000
118,RL,74,8536,Pave,,Reg,Edwards,1Fam,1Story,5,5,2006,2007,Gable,1125,SBrkr,1125,0,1125,1,1,2,1,5,Attchd,2,430,80,0,155000
119,RL,90,12376,Pave,,Reg,SawyerW,1Fam,2Story,7,5,1990,1990,Hip,1673,SBrkr,1699,1523,3222,3,0,5,1,11,Attchd,3,594,367,0,320000
120,RL,65,8461,Pave,,Reg,CollgCr,1Fam,2Story,6,5,2005,2006,Gable,728,SBrkr,728,728,1456,2,1,3,1,8,Attchd,2,390,0,0,163990
121,RL,,21453,Pave,,IR1,ClearCr,1Fam,SLvl,6,5,1969,1969,Flat,938,SBrkr,988,0,988,1,0,1,1,4,Attchd,2,540,0,0,180000
122,RM,50,6060,Pave,,Reg,IDOTRR,1Fam,1.5Fin,4,5,1939,1950,Gable,732,SBrkr,772,351,1123,1,0,3,1,4,Detchd,1,264,0,0,100000
123,RL,75,9464,Pave,,Reg,NAmes,1Fam,1Story,6,7,1958,1958,Hip,1080,SBrkr,1080,0,1080,1,0,3,1,5,Attchd,1,288,0,0,136000
124,RL,55,7892,Pave,,Reg,SawyerW,TwnhsE,1Story,6,5,1993,1993,Gable,1199,SBrkr,1199,0,1199,2,0,2,1,5,Attchd,2,530,0,0,153900
125,RL,48,17043,Pave,,IR1,NWAmes,1Fam,1Story,6,5,1979,1998,Gable,1362,SBrkr,1586,0,1586,2,0,3,1,7,Attchd,2,435,192,0,181000
126,RM,60,6780,Pave,,Reg,IDOTRR,2fmCon,1.5Fin,6,8,1935,1982,Gable,520,SBrkr,520,0,754,1,0,2,1,5,,0,0,53,0,84500
127,RL,,4928,Pave,,IR1,NPkVill,TwnhsE,1Story,6,5,1976,1976,Gable,1078,SBrkr,958,0,958,2,0,2,1,5,Attchd,2,440,0,0,128000
128,RM,55,4388,Pave,,IR1,OldTown,1Fam,1.5Unf,5,7,1930,1950,Gable,672,SBrkr,840,0,840,1,0,3,1,5,,0,0,0,0,87000
129,RL,69,7590,Pave,,Reg,NAmes,1Fam,2Story,6,5,1966,1966,Gable,660,SBrkr,660,688,1348,1,1,3,1,6,Attchd,2,453,188,0,155000
130,RL,69,8973,Pave,,Reg,NAmes,1Fam,1Story,5,7,1958,1991,Gable,1008,FuseA,1053,0,1053,1,1,3,1,6,2Types,2,750,0,0,150000
131,RL,88,14200,Pave,,Reg,NAmes,1Fam,2Story,7,6,1966,1966,Gable,924,SBrkr,1216,941,2157,2,1,4,1,8,Attchd,2,487,105,0,226000
132,RL,,12224,Pave,,IR1,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,992,SBrkr,1022,1032,2054,2,1,3,1,7,BuiltIn,2,390,24,0,244000
133,RL,75,7388,Pave,,Reg,NAmes,1Fam,1Story,5,6,1959,2002,Gable,1063,SBrkr,1327,0,1327,1,0,3,1,7,Detchd,2,624,0,0,150750
134,RL,,6853,Pave,,IR1,Timber,1Fam,1Story,8,5,2001,2002,Gable,1267,SBrkr,1296,0,1296,2,0,2,1,6,Attchd,2,471,192,0,220000
135,RL,78,10335,Pave,,IR1,Sawyer,1Fam,1Story,5,6,1968,1993,Gable,1461,SBrkr,1721,0,1721,2,1,3,1,7,Attchd,2,440,0,0,180000
136,RL,80,10400,Pave,,Reg,NWAmes,1Fam,1Story,7,6,1970,1970,Hip,1304,SBrkr,1682,0,1682,2,0,3,1,7,Attchd,2,530,98,0,174000
137,RL,,10355,Pave,,IR1,NAmes,1Fam,1Story,5,5,1967,1967,Gable,1214,SBrkr,1214,0,1214,2,0,3,1,5,Attchd,1,318,0,0,143000
138,RL,82,11070,Pave,,Reg,Mitchel,Duplex,1Story,7,5,1988,1989,Gable,1907,SBrkr,1959,0,1959,3,0,5,2,9,2Types,3,766,0,0,171000
139,RL,73,9066,Pave,,IR1,CollgCr,1Fam,2Story,8,5,1999,2000,Gable,1004,SBrkr,1004,848,1852,2,1,3,1,7,Attchd,3,660,224,0,230000
140,RL,65,15426,Pave,,IR1,CollgCr,1Fam,2Story,6,5,1997,1997,Gable,928,SBrkr,928,836,1764,2,1,3,1,7,Attchd,2,470,276,0,231500
141,RL,70,10500,Pave,,Reg,NAmes,1Fam,1Story,4,5,1971,1971,Gable,864,SBrkr,864,0,864,1,0,3,1,5,,0,0,0,0,115000
142,RL,78,11645,Pave,,Reg,CollgCr,1Fam,1Story,7,5,2005,2005,Gable,1734,SBrkr,1734,0,1734,2,0,3,1,7,Attchd,2,660,160,0,260000
143,RL,71,8520,Pave,,Reg,NAmes,1Fam,1.5Fin,5,4,1952,1952,Gable,910,SBrkr,910,475,1385,2,0,4,1,6,Detchd,2,720,0,0,166000
144,RL,78,10335,Pave,,IR1,CollgCr,1Fam,1Story,7,5,1999,1999,Gable,1490,SBrkr,1501,0,1501,2,0,3,1,6,Attchd,2,577,144,0,204000
145,RM,70,9100,Pave,,Reg,Sawyer,Duplex,1Story,5,5,1963,1963,Gable,1728,SBrkr,1728,0,1728,2,0,6,2,10,Detchd,2,504,0,0,125000
146,RM,24,2522,Pave,,Reg,Edwards,Twnhs,2Story,6,5,2004,2006,Gable,970,SBrkr,970,739,1709,2,0,3,1,7,Detchd,2,380,0,0,130000
147,RM,51,6120,Pave,,Reg,BrkSide,1Fam,1Story,5,7,1931,1993,Gable,715,FuseA,875,0,875,1,0,2,1,5,Detchd,1,180,48,0,105000
148,RL,,9505,Pave,,IR1,Gilbert,1Fam,2Story,7,5,2001,2001,Gable,884,SBrkr,884,1151,2035,2,1,3,1,8,BuiltIn,2,434,144,0,222500
149,RL,63,7500,Pave,,Reg,SawyerW,1Fam,1Story,7,5,2004,2005,Gable,1080,SBrkr,1080,0,1080,1,0,3,1,6,,0,0,0,0,141000
150,RM,,6240,Pave,,Reg,BrkSide,1Fam,1.5Fin,5,4,1936,1950,Gable,896,FuseA,896,448,1344,1,0,3,1,7,Detchd,1,240,200,0,115000
